10 year total return;Excess return (over index);Volatility (as st. dev. of annual returns);Information ratio;Parameters and weights
307.61%;-26.57%;30.57%;-0.408;{'roe': 0.3, 'fcfy': 0.1, 'revenue_growth': 0.6}
307.59%;-26.59%;22.01%;0.167;{'roic_wacc': 0.7, 'revenue_growth': 0.3}
307.52%;-26.65%;25.21%;-0.722;{'fcfy': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
307.43%;-26.75%;20.80%;0.239;{'roic_wacc': 0.9, 'revenue_growth': 0.1}
307.07%;-27.10%;19.83%;-0.123;{'roe': 0.3, 'roic_wacc': 0.2, 'dividend_yield': 0.5}
307.03%;-27.14%;23.11%;-0.984;{'roe': 0.2, 'fcfy': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.3}
306.99%;-27.18%;21.91%;-0.918;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.3, 'revenue_growth': 0.3}
306.88%;-27.29%;25.04%;-1.118;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
306.86%;-27.31%;23.68%;-0.684;{'roe': 0.1, 'fcfy': 0.5, 'dividend_yield': 0.4}
306.86%;-27.31%;18.56%;-0.217;{'roe': 0.6, 'roic_wacc': 0.3, 'dividend_yield': 0.1}
306.58%;-27.60%;22.89%;-0.651;{'fcfy': 0.4, 'revenue_growth': 0.1, 'dividend_yield': 0.5}
306.27%;-27.91%;20.24%;-0.447;{'roe': 0.6, 'roic_wacc': 0.2, 'dividend_yield': 0.2}
